time,type
2022-07-06 08:00:00,JAM
2022-07-06 09:00:00,JAM
2022-07-06 10:00:00,JAM
2022-07-06 12:00:00,JAM
2022-07-06 13:00:00,JAM
2022-07-06 17:00:00,JAM
2022-07-06 18:00:00,JAM
2022-07-06 19:00:00,JAM
2022-07-07 11:00:00,JAM
2022-07-07 12:00:00,JAM
2022-07-07 16:00:00,WEATHERHAZARD
2022-07-07 17:00:00,JAM
2022-07-07 17:00:00,WEATHERHAZARD
2022-07-07 18:00:00,JAM
2022-07-07 20:00:00,WEATHERHAZARD
2022-07-08 17:00:00,JAM
2022-07-08 20:00:00,JAM
2022-07-08 20:00:00,WEATHERHAZARD
2022-07-09 09:00:00,JAM
2022-07-09 16:00:00,JAM
2022-07-09 17:00:00,JAM
2022-07-09 19:00:00,JAM
2022-07-10 15:00:00,JAM
2022-07-10 16:00:00,JAM
2022-07-10 17:00:00,JAM
2022-07-11 08:00:00,JAM
2022-07-11 09:00:00,JAM
2022-07-11 16:00:00,JAM
2022-07-11 18:00:00,JAM
2022-07-11 18:00:00,WEATHERHAZARD
2022-07-11 19:00:00,JAM
2022-07-11 19:00:00,WEATHERHAZARD
2022-07-11 20:00:00,WEATHERHAZARD
2022-07-11 21:00:00,WEATHERHAZARD
2022-07-12 08:00:00,JAM
2022-07-12 08:00:00,WEATHERHAZARD
2022-07-12 18:00:00,JAM
2022-07-12 19:00:00,JAM
2022-07-13 09:00:00,JAM
2022-07-13 10:00:00,JAM
2022-07-13 11:00:00,JAM
2022-07-13 13:00:00,JAM
2022-07-13 14:00:00,JAM
2022-07-14 11:00:00,JAM
2022-07-14 12:00:00,JAM
2022-07-14 12:00:00,WEATHERHAZARD
2022-07-14 13:00:00,JAM
2022-07-15 08:00:00,WEATHERHAZARD
2022-07-15 09:00:00,WEATHERHAZARD
2022-07-15 17:00:00,JAM
2022-07-15 17:00:00,WEATHERHAZARD
2022-07-15 18:00:00,JAM
2022-07-15 18:00:00,WEATHERHAZARD
2022-07-15 19:00:00,JAM
2022-07-15 20:00:00,JAM
2022-07-15 21:00:00,JAM
2022-07-16 07:00:00,JAM
2022-07-16 10:00:00,JAM
2022-07-16 11:00:00,JAM
2022-07-16 12:00:00,JAM
2022-07-16 13:00:00,JAM
2022-07-16 14:00:00,JAM
2022-07-16 15:00:00,JAM
2022-07-16 16:00:00,JAM
2022-07-16 17:00:00,JAM
2022-07-16 18:00:00,JAM
2022-07-16 19:00:00,JAM
2022-07-16 20:00:00,JAM
2022-07-16 21:00:00,JAM
2022-07-17 12:00:00,JAM
2022-07-17 13:00:00,JAM
2022-07-17 14:00:00,JAM
2022-07-17 15:00:00,JAM
2022-07-17 16:00:00,JAM
2022-07-17 17:00:00,JAM
2022-07-17 18:00:00,JAM
2022-07-17 19:00:00,JAM
2022-07-17 20:00:00,JAM
2022-07-17 21:00:00,JAM
2022-07-18 06:00:00,JAM
2022-07-18 07:00:00,JAM
2022-07-18 10:00:00,JAM
2022-07-20 06:00:00,JAM
2022-07-20 07:00:00,JAM
2022-07-20 12:00:00,JAM
2022-07-20 13:00:00,JAM
2022-07-20 14:00:00,JAM
2022-07-20 15:00:00,JAM
2022-07-20 19:00:00,WEATHERHAZARD
2022-07-20 20:00:00,WEATHERHAZARD
2022-07-21 07:00:00,JAM
2022-07-21 07:00:00,WEATHERHAZARD
2022-07-21 08:00:00,JAM
2022-07-21 09:00:00,JAM
2022-07-21 10:00:00,JAM
2022-07-21 11:00:00,JAM
2022-07-21 17:00:00,JAM
2022-07-21 20:00:00,JAM
2022-07-21 20:00:00,WEATHERHAZARD
2022-07-22 09:00:00,JAM
2022-07-22 10:00:00,JAM
2022-07-22 14:00:00,JAM
2022-07-22 18:00:00,WEATHERHAZARD
2022-07-22 19:00:00,WEATHERHAZARD
2022-07-22 20:00:00,WEATHERHAZARD
2022-07-23 07:00:00,JAM
2022-07-23 08:00:00,JAM
2022-07-23 19:00:00,JAM
2022-07-23 20:00:00,JAM
2022-07-24 10:00:00,JAM
2022-07-24 11:00:00,JAM
2022-07-24 12:00:00,JAM
2022-07-24 13:00:00,JAM
2022-07-24 14:00:00,JAM
2022-07-24 15:00:00,JAM
2022-07-24 16:00:00,JAM
2022-07-24 18:00:00,WEATHERHAZARD
2022-07-25 06:00:00,JAM
2022-07-25 07:00:00,JAM
2022-07-25 08:00:00,JAM
2022-07-25 09:00:00,JAM
2022-07-25 10:00:00,JAM
