,time,median_length,median_delay_seconds,median_regular_speed,median_seconds,median_speed,median_jam_level
0,2022-07-06 09:00:00,1878.0,689.0,13.775,856.5,7.34,4.0
1,2022-07-06 09:00:00,1226.0,339.5,14.4,447.0,9.995,3.0
4,2022-07-06 10:00:00,1420.0,623.0,11.71,734.0,6.56,4.0
39,2022-07-06 18:00:00,1420.0,329.5,17.314999,460.5,11.08,3.0
40,2022-07-06 18:00:00,570.0,534.0,13.65,584.0,3.5,4.0
53,2022-07-07 16:00:00,1289.0,898.0,11.61,1012.0,4.58,4.0
71,2022-07-07 17:00:00,687.0,215.0,12.46,275.0,8.98,3.0
72,2022-07-07 17:00:00,1107.0,678.0,11.14,777.0,6.25,4.0
77,2022-07-07 18:00:00,881.0,399.5,16.224998,477.0,6.47,4.0
119,2022-07-08 19:00:00,1160.0,807.0,23.87,908.0,4.6400003,4.0
123,2022-07-08 20:00:00,1257.0,715.0,23.76,808.0,4.87,4.0
124,2022-07-08 20:00:00,850.0,178.0,21.32,256.0,11.94,3.0
128,2022-07-08 21:00:00,1893.0,520.0,24.57,688.0,9.89,3.0
129,2022-07-08 21:00:00,2025.0,770.0,24.43,950.0,7.66,4.0
183,2022-07-11 10:00:00,1233.5,416.0,16.035,524.0,8.46,4.0
184,2022-07-11 10:00:00,1292.0,344.0,15.4,457.0,10.22,3.0
186,2022-07-11 11:00:00,1893.0,464.0,12.57,632.0,10.77,3.0
188,2022-07-11 11:00:00,1483.0,576.0,14.07,707.0,7.54,4.0
195,2022-07-11 16:00:00,687.0,334.5,10.0,397.0,6.2200003,4.0
199,2022-07-11 17:00:00,850.0,639.5,17.154999,719.5,3.6599998,4.0
205,2022-07-11 17:00:00,998.0,290.0,19.07,378.0,9.49,3.0
207,2022-07-11 18:00:00,938.0,827.0,18.99,911.0,4.43,4.0
210,2022-07-11 18:00:00,850.0,140.0,21.79,222.0,13.76,2.0
211,2022-07-11 18:00:00,1257.0,459.5,21.74,574.5,7.865,3.0
213,2022-07-11 19:00:00,1417.0,574.5,19.895,693.5,6.96,4.0
214,2022-07-11 19:00:00,1289.0,351.5,21.3,469.0,10.33,3.0
216,2022-07-11 20:00:00,850.0,114.0,23.85,195.0,15.66,2.0
217,2022-07-11 20:00:00,1289.0,288.0,23.46,406.0,10.26,3.0
230,2022-07-12 17:00:00,1169.0,485.0,15.71,594.0,7.08,4.0
241,2022-07-12 18:00:00,1169.0,485.0,15.71,594.0,7.08,4.0
245,2022-07-12 18:00:00,849.0,239.0,17.26,354.0,9.84,3.0
264,2022-07-13 09:00:00,752.0,368.0,11.11,437.0,6.33,4.0
265,2022-07-13 10:00:00,1257.0,1165.0,9.86,1291.0,3.34,4.0
267,2022-07-13 11:00:00,1218.0,1083.0,13.16,1193.0,3.51,4.0
269,2022-07-13 11:00:00,850.0,281.0,12.645,365.0,8.37,3.0
272,2022-07-13 12:00:00,1417.0,785.0,14.87,907.0,4.925,4.0
273,2022-07-13 13:00:00,1895.0,330.0,19.384998,499.0,13.67,3.0
275,2022-07-13 13:00:00,1420.0,868.0,18.47,1012.0,5.0,4.0
283,2022-07-13 14:00:00,1095.5,283.0,19.265,375.0,8.635,3.0
287,2022-07-13 14:00:00,1165.0,430.5,18.939999,501.0,5.7,4.0
289,2022-07-13 15:00:00,1417.0,693.0,18.744999,831.0,5.84,4.0
296,2022-07-13 15:00:00,1494.0,345.5,17.33,478.0,11.245,3.0
299,2022-07-13 16:00:00,1289.0,428.5,14.97,554.5,8.34,3.0
301,2022-07-13 16:00:00,1417.0,521.5,18.24,660.0,7.39,4.0
304,2022-07-13 17:00:00,1292.0,709.5,17.365002,825.0,5.645,4.0
306,2022-07-13 17:00:00,571.0,145.0,21.385,198.0,10.36,3.0
312,2022-07-13 18:00:00,571.0,164.5,21.435001,216.5,9.559999,3.0
313,2022-07-13 18:00:00,850.0,531.0,17.6,600.0,5.52,4.0
318,2022-07-13 19:00:00,1420.0,624.5,16.855,750.5,6.8,4.0
320,2022-07-13 20:00:00,556.0,200.5,16.9,249.5,8.0,3.0
322,2022-07-14 08:00:00,599.0,165.0,21.17,223.0,9.64,3.0
324,2022-07-14 08:00:00,1006.0,515.0,20.135,607.0,5.955,4.0
341,2022-07-14 17:00:00,1878.0,889.0,11.525,1057.5,6.315,4.0
342,2022-07-14 18:00:00,1420.0,638.5,14.12,766.0,6.7250004,4.0
349,2022-07-14 18:00:00,1420.0,380.5,14.355,508.0,9.855,3.0
355,2022-07-15 11:00:00,1420.0,676.0,14.35,809.0,6.35,4.0
356,2022-07-15 11:00:00,1289.0,436.5,15.280001,552.0,8.4,3.0
377,2022-07-15 17:00:00,939.5,343.0,20.0,425.5,7.9350004,3.0
378,2022-07-15 17:00:00,1333.0,528.0,18.75,645.0,7.43,4.0
380,2022-07-15 18:00:00,1420.0,474.0,17.42,602.0,8.49,3.0
383,2022-07-15 18:00:00,1420.0,602.0,17.43,730.0,7.0,4.0
395,2022-07-15 19:00:00,850.0,284.0,19.38,365.0,8.37,3.0
396,2022-07-15 19:00:00,1420.0,725.0,19.244999,853.0,6.19,4.0
405,2022-07-15 20:00:00,668.0,157.0,23.26,215.0,11.18,3.0
406,2022-07-15 20:00:00,1147.0,656.5,20.75,769.0,4.27,4.0
409,2022-07-15 21:00:00,1328.0,312.0,22.59,427.0,11.27,3.0
410,2022-07-15 21:00:00,1165.0,498.0,21.51,604.0,6.97,4.0
413,2022-07-15 22:00:00,752.0,243.0,24.09,313.0,8.63,3.0
419,2022-07-16 10:00:00,1420.0,1053.5,12.11,1181.0,4.32,4.0
422,2022-07-16 11:00:00,1242.0,429.0,13.19,551.0,8.1,3.0
423,2022-07-16 11:00:00,1242.0,705.0,11.83,817.0,5.93,4.0
432,2022-07-16 12:00:00,1399.0,705.5,15.03,805.0,4.91,4.0
441,2022-07-16 12:00:00,1454.0,404.5,13.155,532.0,9.82,3.0
457,2022-07-16 13:00:00,1417.0,1093.0,15.75,1233.5,4.4049997,4.0
486,2022-07-16 14:00:00,1418.0,513.0,11.705,639.0,7.98,3.0
487,2022-07-16 14:00:00,1257.0,922.0,13.23,1032.0,4.54,4.0
510,2022-07-16 15:00:00,1069.0,1208.0,18.13,1321.0,3.42,4.0
522,2022-07-16 15:00:00,1096.0,371.0,16.09,477.0,8.06,3.0
551,2022-07-16 16:00:00,938.0,318.5,12.61,408.5,8.48,3.0
552,2022-07-16 16:00:00,1218.0,974.0,13.93,1124.0,4.0,4.0
572,2022-07-16 17:00:00,1069.0,328.0,14.335,425.0,9.26,3.0
575,2022-07-16 17:00:00,1712.0,796.0,13.76,973.0,5.31,4.0
583,2022-07-16 18:00:00,1328.0,989.5,13.595,1042.0,4.62,4.0
593,2022-07-16 19:00:00,1911.0,529.0,15.21,722.0,9.514999,3.0
594,2022-07-16 19:00:00,1214.0,489.0,21.015,609.0,6.6949997,4.0
598,2022-07-16 20:00:00,1257.0,441.0,18.275,554.0,8.16,3.0
599,2022-07-16 20:00:00,1237.0,765.0,18.404999,902.0,4.73,4.0
602,2022-07-16 21:00:00,1200.0,281.0,21.56,381.0,9.75,3.0
606,2022-07-16 21:00:00,905.0,585.0,20.48,651.0,4.88,4.0
607,2022-07-16 22:00:00,938.0,625.0,26.31,758.0,4.99,4.0
610,2022-07-16 22:00:00,1417.0,346.0,24.485,475.0,9.98,3.0
612,2022-07-16 23:00:00,1417.0,457.0,23.78,594.0,8.58,3.0
614,2022-07-17 09:00:00,1420.0,339.0,17.01,467.0,10.94,3.0
621,2022-07-17 10:00:00,1239.5,856.0,19.48,989.5,4.355,4.0
627,2022-07-17 11:00:00,571.0,206.0,15.285,259.0,7.91,3.0
632,2022-07-17 11:00:00,1417.0,947.0,19.34,1085.0,4.58,4.0
645,2022-07-17 12:00:00,1173.0,1107.5,20.53,1244.5,3.79,4.0
649,2022-07-17 13:00:00,1399.0,467.5,18.135,602.5,8.345,3.0
650,2022-07-17 13:00:00,1417.0,748.0,18.07,882.0,5.29,4.0
675,2022-07-17 14:00:00,1261.0,817.0,19.380001,948.5,4.44,4.0
692,2022-07-17 15:00:00,1242.0,1287.0,17.99,1434.5,3.835,4.0
714,2022-07-17 16:00:00,1218.0,382.0,15.09,499.0,8.77,3.0
715,2022-07-17 16:00:00,1417.0,644.0,16.725,777.5,6.315,4.0
732,2022-07-17 17:00:00,1417.0,418.0,15.75,555.0,9.18,3.0
733,2022-07-17 17:00:00,1242.0,530.0,14.965,651.0,6.615,4.0
756,2022-07-17 18:00:00,1215.0,695.0,14.365,791.5,5.27,4.0
760,2022-07-17 19:00:00,1893.0,865.0,16.91,1034.0,6.59,4.0
779,2022-07-17 22:00:00,1145.0,1201.0,10.13,1300.0,3.16,4.0
782,2022-07-18 06:00:00,670.0,478.0,21.05,543.0,4.45,4.0
784,2022-07-18 07:00:00,1147.0,305.0,19.26,413.0,9.9,3.0
788,2022-07-18 07:00:00,686.0,690.5,15.315001,758.5,3.4450002,4.0
792,2022-07-18 08:00:00,1171.0,680.0,16.55,784.0,5.48,4.0
794,2022-07-18 09:00:00,1170.0,697.5,10.65,821.0,5.645,4.0
799,2022-07-18 09:00:00,1107.0,377.0,14.9,475.0,8.37,3.0
805,2022-07-18 12:00:00,1225.0,737.0,16.43,855.0,5.15,4.0
808,2022-07-18 13:00:00,1417.0,304.0,19.58,427.0,10.98,3.0
809,2022-07-18 13:00:00,1408.0,589.5,18.13,740.0,7.0950003,4.0
810,2022-07-18 14:00:00,1417.0,256.5,20.33,393.5,12.940001,3.0
834,2022-07-19 07:00:00,605.5,469.5,16.51,521.0,4.005,4.0
852,2022-07-19 10:00:00,1165.0,350.5,15.05,460.5,9.13,3.0
853,2022-07-19 10:00:00,1147.0,787.5,9.26,899.0,4.73,4.0
858,2022-07-19 11:00:00,1420.0,520.0,11.13,648.0,8.265,3.0
859,2022-07-19 11:00:00,1765.0,916.0,11.89,1074.0,5.84,4.0
869,2022-07-20 07:00:00,850.0,634.0,18.87,716.0,4.27,4.0
884,2022-07-20 14:00:00,1328.5,931.0,19.71,1069.0,4.2599998,4.0
887,2022-07-20 15:00:00,747.0,1072.0,19.18,1265.0,2.6,4.0
904,2022-07-21 09:00:00,1480.0,486.0,15.49,619.0,8.6,3.0
905,2022-07-21 09:00:00,752.0,589.0,13.31,660.0,4.58,4.0
907,2022-07-21 10:00:00,686.0,304.0,10.46,363.0,6.79,4.0
949,2022-07-23 09:00:00,1420.0,672.0,12.51,797.0,6.04,4.0
950,2022-07-23 09:00:00,1289.0,444.0,11.56,559.0,8.28,3.0
952,2022-07-23 11:00:00,1489.0,728.5,12.15,881.5,6.145,4.0
1008,2022-07-24 11:00:00,1731.0,683.0,10.52,838.0,7.43,3.0
1009,2022-07-24 11:00:00,1885.5,957.0,10.305,1113.5,5.94,4.0
1014,2022-07-24 12:00:00,1893.0,424.0,13.08,593.0,11.48,3.0
1015,2022-07-24 12:00:00,1893.0,861.0,13.53,1032.0,6.48,4.0
1022,2022-07-24 13:00:00,1731.0,924.0,13.35,1088.0,5.86,4.0
1026,2022-07-24 14:00:00,1731.0,951.5,9.29,1102.0,5.79,4.0
1046,2022-07-24 15:00:00,2025.0,1184.0,6.01,1365.0,5.32,4.0
1050,2022-07-24 16:00:00,881.0,231.0,13.84,308.0,10.31,3.0
1051,2022-07-24 16:00:00,1893.0,1399.0,6.54,1558.0,4.29,4.0
1055,2022-07-24 17:00:00,752.0,880.5,9.17,962.5,3.79,4.0
1058,2022-07-24 18:00:00,1291.0,704.5,15.595,834.5,4.8050003,4.0
1061,2022-07-24 18:00:00,1165.0,339.0,16.38,449.0,9.65,3.0
1063,2022-07-24 19:00:00,1480.0,740.5,13.51,875.0,6.135,4.0
1064,2022-07-24 19:00:00,1893.0,337.0,15.530001,506.0,13.455,3.0
1065,2022-07-24 20:00:00,1418.0,679.0,12.99,810.0,6.185,4.0
1067,2022-07-24 20:00:00,1480.0,555.0,12.9,688.0,7.74,3.0
1071,2022-07-25 06:00:00,542.0,746.0,24.23,796.0,2.5700002,4.0
1078,2022-07-25 07:00:00,598.0,610.0,20.68,679.0,3.92,4.0
1084,2022-07-25 08:00:00,1420.0,744.0,17.98,871.0,5.86,4.0
1085,2022-07-25 08:00:00,619.0,177.0,14.91,241.5,9.18,3.0
1089,2022-07-25 09:00:00,1025.5,627.5,12.085,718.5,5.11,4.0
1091,2022-07-25 11:00:00,1454.0,626.0,16.28,754.0,6.93,4.0
1094,2022-07-25 12:00:00,1454.0,442.0,16.38,570.0,9.17,4.0
1096,2022-07-25 13:00:00,687.0,567.0,19.11,633.0,4.09,4.0
1101,2022-07-25 14:00:00,1230.0,327.0,20.25,443.5,10.139999,3.0
1102,2022-07-25 14:00:00,1160.0,541.0,19.17,634.0,6.365,4.0
1104,2022-07-25 15:00:00,1160.0,549.0,22.95,654.0,5.22,4.0
1109,2022-07-25 15:00:00,1164.5,448.5,22.6,552.5,7.5950003,3.0
1110,2022-07-25 16:00:00,1194.0,817.0,16.82,923.0,4.52,4.0
1117,2022-07-25 17:00:00,849.0,883.0,11.86,957.0,3.0,4.0
1127,2022-07-25 18:00:00,1893.0,536.0,20.45,705.0,9.65,3.0
1128,2022-07-25 18:00:00,1509.5,879.0,15.305,1013.0,5.4449997,4.0
1134,2022-07-25 19:00:00,1893.0,523.0,20.64,692.0,9.84,3.0
1135,2022-07-25 19:00:00,1141.0,430.0,23.92,529.0,7.75,4.0
1138,2022-07-26 07:00:00,1417.0,433.0,21.14,569.0,8.684999,3.0
1139,2022-07-26 07:00:00,1281.0,517.0,21.205,638.5,7.535,4.0
1141,2022-07-26 08:00:00,1417.0,180.5,20.470001,318.5,16.0,2.0
1142,2022-07-26 08:00:00,1417.0,231.0,21.244999,368.0,13.245001,3.0
1147,2022-07-26 09:00:00,1420.0,995.0,8.754999,1125.0,4.545,4.0
1149,2022-07-26 10:00:00,1420.0,692.0,8.45,822.0,6.13,4.0
1158,2022-07-26 14:00:00,725.0,139.0,18.6,207.0,12.58,3.0
1159,2022-07-26 14:00:00,1165.0,530.0,19.34,641.0,6.49,4.0
1160,2022-07-26 15:00:00,1224.0,416.0,20.12,540.0,8.15,3.0
1162,2022-07-26 15:00:00,1224.0,536.0,19.465,662.0,6.33,4.0
1168,2022-07-26 16:00:00,1165.0,493.5,20.275002,604.0,6.0699997,4.0
1172,2022-07-26 16:00:00,1417.0,324.0,19.965,462.0,10.665,3.0
1199,2022-07-27 07:00:00,1117.0,311.0,19.23,417.0,9.655,3.0
1202,2022-07-27 07:00:00,850.0,549.0,19.91,633.0,4.86,4.0
1208,2022-07-27 13:00:00,1147.0,671.0,16.43,782.0,5.27,4.0
1210,2022-07-27 14:00:00,981.0,252.0,16.37,322.0,10.22,3.0
1211,2022-07-27 14:00:00,1147.0,615.0,16.06,723.0,5.85,4.0
1214,2022-07-27 15:00:00,1893.0,464.0,18.11,594.0,9.9,3.0
1219,2022-07-27 15:00:00,1420.0,653.0,16.23,770.0,5.5,4.0
1222,2022-07-27 16:00:00,787.0,450.0,13.365,526.0,5.605,4.0
1224,2022-07-27 17:00:00,604.0,103.0,26.9,157.0,13.84,3.0
1227,2022-07-27 17:00:00,1580.0,854.5,14.049999,996.0,5.65,4.0
1231,2022-07-27 18:00:00,1420.0,430.0,15.71,559.0,10.97,3.0
1232,2022-07-27 18:00:00,1107.0,674.0,14.48,753.0,4.62,4.0
1237,2022-07-28 06:00:00,1152.0,691.0,18.51,774.0,5.93,4.0
1239,2022-07-28 06:00:00,850.0,213.0,22.29,299.0,10.2,3.0
1244,2022-07-28 07:00:00,578.0,93.0,24.51,155.0,13.39,2.0
1245,2022-07-28 07:00:00,1173.0,269.0,18.21,383.0,9.97,3.0
1246,2022-07-28 07:00:00,1051.0,677.0,16.62,777.0,4.82,4.0
1252,2022-07-28 14:00:00,1408.0,715.0,18.835,843.0,5.575,4.0
1255,2022-07-28 14:00:00,1920.0,228.0,20.04,422.0,16.2,2.0
1256,2022-07-28 14:00:00,1920.0,372.0,19.535,566.5,11.865,3.0
1258,2022-07-28 15:00:00,1471.0,362.0,19.59,515.0,10.31,3.0
1261,2022-07-28 15:00:00,1420.0,720.0,15.12,847.0,6.02,4.0
1264,2022-07-28 16:00:00,1257.0,371.0,16.195,483.5,9.29,3.0
1265,2022-07-28 16:00:00,1333.0,767.0,15.475,880.0,6.38,4.0
1266,2022-07-28 17:00:00,1043.0,326.5,16.045,417.5,8.975,4.0
