time,median_length,median_delay,median_speed_kmh,median_level
2022-07-06 01:00:00,808.0,73.0,19.92,2.0
2022-07-06 02:00:00,,,,
2022-07-06 03:00:00,,,,
2022-07-06 04:00:00,,,,
2022-07-06 05:00:00,,,,
2022-07-06 06:00:00,,,,
2022-07-06 07:00:00,1096.0,105.5,17.5299995,2.5
2022-07-06 08:00:00,1152.75,94.25,20.83,2.5
2022-07-06 09:00:00,1144.0,96.0,16.57,2.0
2022-07-06 10:00:00,1174.0,83.5,22.23,2.0
2022-07-06 11:00:00,1578.0,114.5,21.83,2.0
2022-07-06 12:00:00,1397.0,138.5,19.8500005,2.5
2022-07-06 13:00:00,1213.25,133.25,18.700000000000003,2.5
2022-07-06 14:00:00,1276.0,143.75,19.990000000000002,2.5
2022-07-06 15:00:00,1073.5,133.75,18.497500000000002,2.5
2022-07-06 16:00:00,1220.0,147.5,17.915,2.5
2022-07-06 17:00:00,1494.0,199.5,17.452499500000002,2.5
2022-07-06 18:00:00,1417.5,149.5,16.855,2.5
2022-07-06 19:00:00,1508.0,127.0,18.33,2.5
2022-07-06 20:00:00,777.25,138.75,12.4975,2.5
2022-07-06 21:00:00,1403.0,69.25,25.615000000000002,1.5
2022-07-06 22:00:00,839.0,83.0,20.59,2.0
2022-07-06 23:00:00,,,,
2022-07-07 00:00:00,,,,
2022-07-07 01:00:00,656.0,78.0,13.68,1.0
2022-07-07 02:00:00,,,,
2022-07-07 03:00:00,,,,
2022-07-07 04:00:00,,,,
2022-07-07 05:00:00,,,,
2022-07-07 06:00:00,682.5,64.5,16.5025,2.5
2022-07-07 07:00:00,656.0,92.0,13.3,2.0
2022-07-07 08:00:00,1623.0,81.0,23.765,2.0
2022-07-07 09:00:00,1276.5,77.0,19.48,2.0
2022-07-07 10:00:00,1119.0,83.0,23.175,2.0
2022-07-07 11:00:00,1470.0,92.0,23.759998,2.0
2022-07-07 12:00:00,1018.0,97.25,18.8775005,2.5
2022-07-07 13:00:00,1640.0,99.0,23.04,2.0
2022-07-07 14:00:00,1499.0,118.75,18.8925005,2.5
2022-07-07 15:00:00,1428.5,136.5,18.8,2.5
2022-07-07 16:00:00,1585.25,226.5,18.870001000000002,2.5
2022-07-07 17:00:00,1292.0,143.75,18.6325005,2.5
2022-07-07 18:00:00,1824.25,133.0,20.04,2.5
2022-07-07 19:00:00,1231.75,98.75,19.8499995,2.5
2022-07-07 20:00:00,1184.0,80.5,21.755,2.5
2022-07-07 21:00:00,1255.5,103.0,19.9525,2.5
2022-07-07 22:00:00,1042.25,83.5,18.517500249999998,2.5
2022-07-07 23:00:00,,,,
2022-07-08 00:00:00,1417.0,115.0,21.36,2.0
2022-07-08 01:00:00,,,,
2022-07-08 02:00:00,1820.0,61.0,29.84,2.0
2022-07-08 03:00:00,,,,
2022-07-08 04:00:00,,,,
2022-07-08 05:00:00,656.0,77.0,13.78,1.0
2022-07-08 06:00:00,975.5,90.75,18.3175,2.5
2022-07-08 07:00:00,973.0,113.0,14.59,2.0
2022-07-08 08:00:00,1379.0,76.5,22.985,2.0
2022-07-08 09:00:00,1544.0,87.0,24.765,2.0
2022-07-08 10:00:00,1559.0,107.0,23.36,2.0
2022-07-08 11:00:00,928.5,132.0,17.6925,2.5
2022-07-08 12:00:00,1209.0,87.0,21.07,2.0
2022-07-08 13:00:00,1488.0,138.0,21.62,2.0
2022-07-08 14:00:00,1493.5,161.0,17.564999999999998,2.5
2022-07-08 15:00:00,1374.0,129.75,18.53,2.5
2022-07-08 16:00:00,1212.0,113.25,18.595,2.5
2022-07-08 17:00:00,1556.5,171.25,17.7625,2.5
2022-07-08 18:00:00,1559.0,101.5,24.415,2.0
2022-07-08 19:00:00,1401.5,106.0,20.355,2.5
2022-07-08 20:00:00,1211.0,96.0,20.2675,2.5
2022-07-08 21:00:00,836.5,93.0,17.79,2.5
2022-07-08 22:00:00,1276.75,113.25,17.715,2.5
2022-07-08 23:00:00,1077.0,86.5,16.904999,2.0
2022-07-09 00:00:00,431.0,104.75,9.5525005,2.5
2022-07-09 01:00:00,1470.0,71.75,27.595,1.5
2022-07-09 02:00:00,,,,
2022-07-09 03:00:00,,,,
2022-07-09 04:00:00,,,,
2022-07-09 05:00:00,,,,
2022-07-09 06:00:00,656.0,92.75,12.6675,1.5
2022-07-09 07:00:00,713.0,71.25,16.775,2.5
2022-07-09 08:00:00,1067.0,104.0,17.33,3.0
2022-07-09 09:00:00,1150.0,80.0,19.95,2.0
2022-07-09 10:00:00,1544.0,83.0,24.654999,2.0
2022-07-09 11:00:00,1353.0,132.5,16.99,2.0
2022-07-09 12:00:00,1544.0,120.0,23.26,2.0
2022-07-09 13:00:00,1846.0,131.0,23.275,2.0
2022-07-09 14:00:00,1849.0,120.5,24.52,2.0
2022-07-09 15:00:00,1831.5,232.75,16.8275,2.5
2022-07-09 16:00:00,1849.0,128.0,23.880001,2.0
