time,median_length,median_delay,median_speed_kmh,median_level
2022-07-06 06:00:00,1237.0,85.5,21.59,2.0
2022-07-06 07:00:00,1147.0,86.0,21.72,2.0
2022-07-06 08:00:00,938.0,194.0,12.98,3.0
2022-07-06 09:00:00,1218.0,148.5,15.74,3.0
2022-07-06 10:00:00,1417.0,150.5,14.865,3.0
2022-07-06 11:00:00,1069.0,103.0,19.23,2.0
2022-07-06 12:00:00,1147.0,89.0,20.17,2.0
2022-07-06 13:00:00,1218.0,91.0,20.04,2.0
2022-07-06 14:00:00,1007.0,115.0,16.44,2.5
2022-07-06 15:00:00,849.0,137.0,14.39,3.0
2022-07-06 16:00:00,998.0,196.0,8.969999,3.0
2022-07-06 17:00:00,1002.0,169.5,12.8,3.0
2022-07-06 18:00:00,920.0,300.0,10.83,3.0
2022-07-06 19:00:00,1154.0,133.5,16.427500000000002,2.5
2022-07-06 20:00:00,1282.0,122.0,19.76,2.5
2022-07-06 21:00:00,570.0,81.0,15.9,2.0
2022-07-06 22:00:00,1075.75,121.72,19.18,2.06
2022-07-06 23:00:00,1067.2857142857142,93.5,19.14303566071428,1.0
2022-07-07 00:00:00,929.5,86.6875,18.68020829166667,1.0
2022-07-07 01:00:00,1156.0,80.0,21.91,1.0
2022-07-07 02:00:00,987.0,128.5,15.885,3.0
2022-07-07 03:00:00,954.0,62.25,21.6625,1.0
2022-07-07 04:00:00,946.5,103.41666666666667,17.946666666666665,2.0
2022-07-07 05:00:00,1021.1538461538462,80.0,20.202692384615382,1.0
2022-07-07 06:00:00,880.75,139.67,14.63875,2.55
2022-07-07 07:00:00,845.5,64.5,21.44,2.0
2022-07-07 08:00:00,1225.0,224.0,12.91,3.0
2022-07-07 09:00:00,897.0,88.5,18.3825,2.5
2022-07-07 10:00:00,860.0,80.5,20.95,2.0
2022-07-07 11:00:00,1239.5,165.0,16.215,2.5
2022-07-07 12:00:00,1155.0,76.0,22.12,2.0
2022-07-07 13:00:00,823.5,94.75,17.435,2.5
2022-07-07 14:00:00,768.0,99.5,16.6499995,2.5
2022-07-07 15:00:00,1069.0,87.0,21.61,2.0
2022-07-07 16:00:00,964.5,200.0,9.809999,3.0
2022-07-07 17:00:00,1215.0,155.5,14.3125005,2.5
2022-07-07 18:00:00,1069.0,131.0,12.12,3.0
2022-07-07 19:00:00,1089.5,124.0,18.125,2.5
2022-07-07 20:00:00,949.5,102.5,19.28,2.5
2022-07-07 21:00:00,1289.0,246.0,11.975,3.0
2022-07-07 22:00:00,1209.0,89.5,20.585,1.5
2022-07-07 23:00:00,1067.2857142857142,93.5,19.14303566071428,1.0
2022-07-08 00:00:00,929.5,86.6875,18.68020829166667,1.0
2022-07-08 01:00:00,1156.0,80.0,21.91,1.0
2022-07-08 02:00:00,987.0,128.5,15.885,3.0
2022-07-08 03:00:00,954.0,62.25,21.6625,1.0
2022-07-08 04:00:00,946.5,103.41666666666667,17.946666666666665,2.0
2022-07-08 05:00:00,1021.1538461538462,80.0,20.202692384615382,1.0
2022-07-08 06:00:00,880.75,139.67,14.63875,2.55
2022-07-08 07:00:00,1155.0,82.5,21.045,2.0
2022-07-08 08:00:00,938.0,91.5,21.93,2.0
2022-07-08 09:00:00,1051.0,93.0,18.810001,2.0
2022-07-08 10:00:00,1147.0,112.0,17.42,2.0
2022-07-08 11:00:00,994.0,98.0,20.57,2.0
2022-07-08 12:00:00,1073.5,93.0,19.67,2.5
2022-07-08 13:00:00,1020.25,105.0,17.935000000000002,2.5
2022-07-08 14:00:00,849.0,86.5,18.4,2.0
2022-07-08 15:00:00,874.5,119.75,16.2225,2.5
2022-07-08 16:00:00,929.0,100.5,15.5675,2.5
2022-07-08 17:00:00,877.0,186.0,11.934999,3.0
2022-07-08 18:00:00,1206.0,76.0,21.815,2.0
2022-07-08 19:00:00,1106.75,123.75,18.275,2.5
2022-07-08 20:00:00,1050.0,174.5,14.48,3.0
2022-07-08 21:00:00,1331.0,94.5,17.1149995,2.5
2022-07-08 22:00:00,1037.5,62.5,23.09,1.5
2022-07-08 23:00:00,1067.2857142857142,93.5,19.14303566071428,1.0
2022-07-09 00:00:00,929.5,86.6875,18.68020829166667,1.0
2022-07-09 01:00:00,1156.0,80.0,21.91,1.0
2022-07-09 02:00:00,987.0,128.5,15.885,3.0
2022-07-09 03:00:00,954.0,62.25,21.6625,1.0
2022-07-09 04:00:00,946.5,103.41666666666667,17.946666666666665,2.0
2022-07-09 05:00:00,1021.1538461538462,80.0,20.202692384615382,1.0
2022-07-09 06:00:00,880.75,139.67,14.63875,2.55
2022-07-09 07:00:00,917.5,81.5,18.82,2.5
2022-07-09 08:00:00,1051.0,85.0,20.43,2.0
2022-07-09 09:00:00,938.0,78.0,21.55,2.0
2022-07-09 10:00:00,973.0,89.0,19.81,2.0
2022-07-09 11:00:00,1107.0,102.0,19.355,2.0
2022-07-09 12:00:00,1147.0,82.0,21.21,2.0
2022-07-09 13:00:00,1194.0,78.0,20.2,2.0
2022-07-09 14:00:00,1147.0,89.5,18.645,2.0
2022-07-09 15:00:00,1147.0,85.0,21.12,2.0
2022-07-09 16:00:00,1147.0,124.0,17.5,2.0
2022-07-09 17:00:00,1147.0,81.0,19.61,2.0
2022-07-09 18:00:00,973.0,85.0,19.34,2.0
2022-07-09 19:00:00,860.0,136.0,13.67,3.0
2022-07-09 20:00:00,1169.0,84.5,20.195,2.0
2022-07-09 21:00:00,1069.0,84.0,21.885,2.0
2022-07-09 22:00:00,994.0,80.0,20.41,2.0
2022-07-09 23:00:00,1067.2857142857142,93.5,19.14303566071428,1.0
2022-07-10 00:00:00,929.5,86.6875,18.68020829166667,1.0
2022-07-10 01:00:00,1156.0,80.0,21.91,1.0
2022-07-10 02:00:00,987.0,128.5,15.885,3.0
2022-07-10 03:00:00,954.0,62.25,21.6625,1.0
2022-07-10 04:00:00,946.5,103.41666666666667,17.946666666666665,2.0
2022-07-10 05:00:00,1021.1538461538462,80.0,20.202692384615382,1.0
2022-07-10 06:00:00,880.75,139.67,14.63875,2.55
2022-07-10 07:00:00,962.0,165.16,14.35,2.53
2022-07-10 08:00:00,1069.0,149.61,16.5649995,2.42
2022-07-10 09:00:00,869.5,102.0,16.8475,2.0
2022-07-10 10:00:00,920.0,70.0,20.86,2.0
2022-07-10 11:00:00,1050.0,78.0,21.564999,2.0
2022-07-10 12:00:00,746.0,74.0,18.555,2.0
2022-07-10 13:00:00,1035.0,82.75,19.5749995,2.5
2022-07-10 14:00:00,556.0,134.5,11.115,3.0
2022-07-10 15:00:00,812.5,110.0,15.13,2.5
2022-07-10 16:00:00,849.0,177.0,11.52,3.0
2022-07-10 17:00:00,1079.0,162.0,15.1825005,2.5
2022-07-10 18:00:00,878.0,128.5,15.45,2.5
2022-07-10 19:00:00,1123.5,202.0,15.845,2.5
2022-07-10 20:00:00,1147.0,85.0,19.51,2.0
2022-07-10 21:00:00,1038.0,94.5,20.14,2.0
2022-07-10 22:00:00,796.0,105.5,16.9375,2.5
2022-07-10 23:00:00,1067.2857142857142,93.5,19.14303566071428,1.0
2022-07-11 00:00:00,929.5,86.6875,18.68020829166667,1.0
2022-07-11 01:00:00,1156.0,80.0,21.91,1.0
2022-07-11 02:00:00,987.0,128.5,15.885,3.0
2022-07-11 03:00:00,954.0,62.25,21.6625,1.0
2022-07-11 04:00:00,946.5,103.41666666666667,17.946666666666665,2.0
2022-07-11 05:00:00,1021.1538461538462,80.0,20.202692384615382,1.0
2022-07-11 06:00:00,849.0,72.0,21.01,2.0
2022-07-11 07:00:00,1140.0,74.5,23.045,1.5
2022-07-11 08:00:00,849.0,79.0,17.945,2.0
2022-07-11 09:00:00,899.0,80.0,20.7,2.0
2022-07-11 10:00:00,1151.25,115.5,16.682499999999997,2.5
2022-07-11 11:00:00,1244.5,139.5,15.495,2.5
2022-07-11 12:00:00,1140.0,111.5,19.5025,2.5
2022-07-11 13:00:00,982.0,77.0,21.765,2.0
2022-07-11 14:00:00,850.0,125.0,14.57,3.0
